"patient_id";"first_name";"last_name";"email";"age";"phone"
1;"Anne";"Reid";"areid0@webmd.com";38;"86-(834)961-7651"
2;"Gerald";"Boyd";"gboyd1@wp.com";99;"86-(820)390-0124"
3;"Carol";"Warren";"";0;""
4;"Louise";"Cruz";"lcruz3@seesaa.net";27;"387-(788)787-1094"
5;"Aaron";"Meyer";"ameyer4@com.com";4;"976-(596)637-8785"
6;"Anna";"Adams";"";0;""
7;"Patrick";"Cooper";"pcooper6@chicagotribune.com";63;"62-(675)563-7823"
8;"Larry";"Moreno";"lmoreno7@webnode.com";25;"241-(778)237-6648"
9;"Carol";"Dean";"";0;""
10;"Jennifer";"Hawkins";"jhawkins9@ifeng.com";75;"420-(381)623-7448"
11;"Amanda";"Perry";"aperrya@webnode.com";76;"7-(395)578-0005"
12;"Margaret";"Reynolds";"mreynoldsb@timesonline.co.uk";15;"7-(903)668-0872"
13;"Joshua";"Austin";"jaustinc@tripod.com";59;"387-(943)980-5173"
14;"John";"Wagner";"jwagnerd@apple.com";86;"357-(550)492-3861"
15;"Jerry";"Evans";"jevanse@fastcompany.com";64;"670-(610)295-1774"
16;"Ralph";"Reed";"rreedf@mit.edu";67;"62-(860)258-4852"
17;"Martha";"Ford";"mfordg@cisco.com";62;"62-(519)154-3809"
18;"Wayne";"Austin";"waustinh@indiatimes.com";12;"353-(620)392-6942"
19;"Timothy";"Fields";"tfieldsi@cloudflare.com";77;"850-(551)284-8827"
20;"Willie";"Kennedy";"wkennedyj@goodreads.com";14;"976-(455)561-6024"
21;"Irene";"Wallace";"iwallacek@list-manage.com";59;"86-(151)116-2246"
22;"Mary";"Schmidt";"mschmidtl@narod.ru";76;"62-(293)222-8218"
23;"David";"Robinson";"";0;""
24;"Ernest";"Fields";"efieldsn@economist.com";2;"84-(223)717-1372"
25;"Gloria";"Brooks";"gbrookso@blogs.com";77;"54-(917)111-8965"
26;"Joseph";"Gray";"jgrayp@icq.com";38;"420-(371)882-0945"
27;"Nancy";"Richards";"nrichardsq@patch.com";95;"46-(530)511-8782"
28;"Jennifer";"Elliott";"jelliottr@eepurl.com";40;"48-(758)567-0971"
29;"Diane";"Hunter";"dhunters@ameblo.jp";3;"62-(332)893-4179"
30;"Kelly";"Woods";"kwoodst@businessinsider.com";53;"358-(890)288-6877"
31;"Tammy";"Fox";"tfoxu@google.nl";25;"386-(229)621-8396"
32;"Tammy";"Rodriguez";"trodriguezv@php.net";50;"57-(911)880-5084"
33;"Wayne";"Kelley";"wkelleyw@dion.ne.jp";102;"7-(830)758-9344"
34;"Brandon";"Austin";"baustinx@patch.com";2;"33-(802)529-8747"
35;"Linda";"Brown";"lbrowny@typepad.com";6;"356-(842)131-4068"
36;"Mary";"Perry";"mperryz@dell.com";94;"420-(257)513-9121"
